"Remember me","Lembre-se de mim"
"Create your account","Cadastro de novos usuários"
"Forgot my password","Esqueci a minha senha"
"Sign in","Entrar"
"login","login"
"password","senha"
"version","versão"
"Post title","Título do post"
"Content","Conteúdo"
"Tags","Tags"
"Send", "Enviar"
"Really delete this post","Deseja realmente remover este post"
"Delete","Remover"
"Edit","Alterar"
"Posted by","Postado por"
"Created by", Criado por
"Updated by", Atualizado por
"at","em"
"Comments","Comentários"
"Post a comment","Postar um comentario"
"Submit","Enviar"